"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AABA","Altaba Inc.","Financial","Asset Management","USA",66393.49,40.12,75.41,0.40%,2445837
2,"AAL","American Airlines Group Inc.","Services","Major Airlines","USA",25299.56,13.49,52.97,0.36%,1603641
3,"AAME","Atlantic American Corporation","Financial","Life Insurance","USA",67.91,24.10,3.60,3.75%,2
4,"AAON","AAON, Inc.","Industrial Goods","General Building Materials","USA",1784.17,36.53,34.95,1.45%,28065
5,"AAPL","Apple Inc.","Consumer Goods","Electronic Equipment","USA",870830.16,16.73,173.14,1.21%,16508712
6,"AAWW","Atlas Air Worldwide Holdings, Inc.","Services","Air Services, Other","USA",1401.69,33.61,62.45,13.03%,533855
7,"ABAX","Abaxis, Inc.","Healthcare","Medical Laboratories & Research","USA",1553.13,56.83,67.03,-2.12%,34344
8,"ABCB","Ameris Bancorp","Financial","Regional - Mid-Atlantic Banks","USA",2007.03,27.46,54.40,-0.09%,50722
9,"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology","USA",527.55,,12.90,10.26%,1156933
10,"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology","USA",18.13,,1.58,1.61%,70255
11,"ABMD","ABIOMED, Inc.","Healthcare","Medical Appliances & Equipment","USA",11564.26,109.00,265.18,-1.14%,258698
12,"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology","USA",3796.75,,31.33,2.96%,801788
13,"ACER","Acer Therapeutics Inc.","Healthcare","Biotechnology","USA",133.65,,18.50,-0.75%,4294
14,"ACET","Aceto Corporation","Basic Materials","Chemicals - Major Diversified","USA",223.64,,7.29,-0.55%,358984
15,"ACFC","Atlantic Coast Financial Corporation","Financial","Regional - Southeast Banks","USA",163.04,51.86,10.58,0.00%,6679
16,"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Specialized Health Services","USA",3178.46,18.45,39.32,8.53%,1541708
17,"ACHN","Achillion Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",396.75,,3.01,0.17%,1431559
18,"ACHV","Achieve Life Sciences, Inc.","Healthcare","Biotechnology","USA",17.07,,1.42,-2.77%,179764
19,"ACIW","ACI Worldwide, Inc.","Technology","Technical & System Software","USA",2653.71,70.15,24.27,7.11%,709221
20,"ACLS","Axcelis Technologies, Inc.","Technology","Semiconductor Equipment & Materials","USA",806.11,6.68,24.65,-1.60%,127666
21,"ACNB","ACNB Corporation","Financial","Regional - Southwest  Banks","USA",197.54,17.77,28.25,0.53%,2204
22,"ACOR","Acorda Therapeutics, Inc.","Healthcare","Biotechnology","USA",1200.65,,26.40,1.15%,209830
23,"ACTA","Actua Corporation","Technology","Application Software","USA",508.80,,0.87,2.35%,64962
24,"ACTG","Acacia Research Corporation","Services","Business Services","USA",184.71,,3.53,-0.70%,137897
25,"ACXM","Acxiom Corporation","Technology","Information Technology Services","USA",2179.26,,28.19,0.86%,194223
26,"ADBE","Adobe Systems Incorporated","Technology","Application Software","USA",100038.59,59.70,203.30,0.60%,702186
27,"ADI","Analog Devices, Inc.","Technology","Semiconductor - Integrated Circuits","USA",32540.80,44.56,88.73,0.36%,918846
28,"ADMP","Adamis Pharmaceuticals Corporation","Healthcare","Drug Delivery","USA",86.25,,2.68,-5.00%,801938
29,"ADP","Automatic Data Processing, Inc.","Technology","Business Software & Services","USA",51166.43,30.09,116.56,0.40%,388166
30,"ADSK","Autodesk, Inc.","Technology","Technical & System Software","USA",24876.47,,113.61,1.10%,767302
31,"ADTN","ADTRAN, Inc.","Technology","Communication Equipment","USA",795.68,33.28,15.85,-2.61%,650272
32,"ADXS","Advaxis, Inc.","Healthcare","Biotechnology","USA",108.41,,1.86,-25.90%,6089486
33,"AEGN","Aegion Corporation","Industrial Goods","Heavy Construction","USA",797.79,,24.79,1.77%,26536
34,"AEHR","Aehr Test Systems","Technology","Semiconductor Equipment & Materials","USA",49.37,,2.25,1.70%,46947
35,"AEIS","Advanced Energy Industries, Inc.","Technology","Diversified Electronics","USA",2712.33,19.93,66.97,-0.45%,122652
36,"AEMD","Aethlon Medical, Inc.","Healthcare","Medical Appliances & Equipment","USA",20.52,,1.47,1.99%,75433
37,"AETI","American Electric Technologies, Inc","Industrial Goods","Industrial Electrical Equipment","USA",11.65,,1.35,-3.12%,223
38,"AEY","ADDvantage Technologies Group, Inc.","Services","Electronics Wholesale","USA",13.80,,1.32,-3.58%,434
39,"AFAM","Almost Family, Inc.","Healthcare","Home Health Care","USA",812.01,48.70,57.80,-0.77%,47418
40,"AFSI","AmTrust Financial Services, Inc.","Financial","Property & Casualty Insurance","USA",2561.32,,12.94,0.43%,296557
