"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies, Inc.","Healthcare","Medical Laboratories & Research","USA",23030.85,31.82,71.32,0.10%,1284294
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",8836.69,41.03,47.94,0.82%,2129435
3,"AAN","Aaron's, Inc.","Services","Rental & Leasing Services","USA",3131.60,20.34,44.03,0.39%,179305
4,"AAP","Advance Auto Parts, Inc.","Services","Auto Parts Stores","USA",8519.22,23.91,112.03,-1.73%,640439
5,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",2583.64,11.31,27.30,-1.97%,150182
6,"ABC","AmerisourceBergen Corporation","Services","Drugs Wholesale","USA",21260.56,22.34,97.24,-1.35%,795622
7,"ABG","Asbury Automotive Group, Inc.","Services","Auto Dealerships","USA",1399.95,10.17,68.00,0.74%,56610
8,"ABM","ABM Industries Incorporated","Services","Business Services","USA",2361.25,26.05,36.40,0.52%,260091
9,"ABR","Arbor Realty Trust, Inc.","Financial","REIT - Diversified","USA",510.91,8.30,8.39,-0.30%,182667
10,"ABT","Abbott Laboratories","Healthcare","Medical Appliances & Equipment","USA",102864.23,56.78,59.21,0.37%,1822156
11,"ACC","American Campus Communities, Inc.","Financial","REIT - Residential","USA",4894.79,88.81,36.95,2.98%,559056
12,"ACCO","ACCO Brands Corporation","Consumer Goods","Office Supplies","USA",1432.86,11.15,13.45,0.75%,282998
13,"ACM","AECOM","Services","Technical Services","USA",5552.00,13.80,35.90,2.69%,350176
14,"ACU","Acme United Corporation","Consumer Goods","Housewares & Accessories","USA",81.76,17.32,24.44,1.04%,237
15,"ACY","AeroCentury Corp.","Services","Rental & Leasing Services","USA",20.38,15.75,14.35,0.00%,0
16,"ADC","Agree Realty Corporation","Financial","Property Management","USA",1288.27,22.01,45.56,1.11%,49453
17,"ADM","Archer-Daniels-Midland Company","Consumer Goods","Farm Products","USA",23593.94,19.79,42.14,0.05%,1326335
18,"ADS","Alliance Data Systems Corporation","Services","Business Services","USA",13019.32,16.96,241.75,0.90%,289671
19,"AE","Adams Resources & Energy, Inc.","Basic Materials","Oil & Gas Refining & Marketing","USA",180.11,,42.25,1.81%,5253
20,"AEE","Ameren Corporation","Utilities","Electric Utilities","USA",13185.47,21.55,55.26,1.58%,847583
21,"AEL","American Equity Investment Life Holding Company","Financial","Life Insurance","USA",2898.15,17.00,32.39,-1.46%,268761
22,"AEO","American Eagle Outfitters, Inc.","Services","Apparel Stores","USA",3288.18,20.67,18.90,0.48%,1559042
23,"AEP","American Electric Power Company, Inc.","Utilities","Electric Utilities","USA",32252.24,17.13,66.17,0.89%,1117999
24,"AES","The AES Corporation","Utilities","Electric Utilities","USA",6801.01,,10.39,1.52%,2940185
25,"AET","Aetna Inc.","Healthcare","Health Care Plans","USA",57951.37,30.55,175.99,0.13%,544501
26,"AFG","American Financial Group, Inc.","Financial","Property & Casualty Insurance","USA",9896.82,18.14,113.13,0.36%,57509
27,"AFL","Aflac Incorporated","Financial","Accident & Health Insurance","USA",34464.11,8.08,89.13,0.28%,543228
28,"AGCO","AGCO Corporation","Industrial Goods","Farm & Construction Machinery","USA",5502.01,28.97,68.38,1.65%,184960
29,"AGM","Federal Agricultural Mortgage Corporation","Financial","Credit Services","USA",868.77,11.13,82.96,0.27%,9917
30,"AGN","Allergan plc","Healthcare","Drugs - Generic","USA",53121.92,,161.09,1.11%,984025
31,"AGS","PlayAGS, Inc.","Services","Gaming Activities","USA",663.45,,19.61,-1.16%,19345
