date gvkey year month active tic perf bnd target mom1m mom3m mom6m mom9m mrkcap entval saleq_ttm cogsq_ttm xsgaq_ttm oiadpq_ttm niq_ttm cheq_mrq rectq_mrq invtq_mrq acoq_mrq ppentq_mrq aoq_mrq dlcq_mrq apq_mrq txpq_mrq lcoq_mrq ltq_mrq cshoq_1yr_avg
197001 00606601 1970 01 1 IBM -0.092005 -0.116667 0.526196 0.77532369 0.67534456 0.73529412 0.85703002 41449.77362219 41449.77362219 7274.29600000 0.00000000 0.00000000 0.00000000 935.49500000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
197002 00606601 1970 02 1 IBM 0.024520 -0.035934 0.550651 0.34716157 0.69472914 0.63407407 0.82880845 38123.58260570 38123.58260570 7274.29600000 0.00000000 0.00000000 0.00000000 935.49500000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
197003 00606601 1970 03 1 IBM 0.068693 -0.011905 0.585631 0.45606391 0.56818182 0.59525574 0.83733133 38692.16760570 38692.16760570 7274.29600000 0.00000000 0.00000000 0.00000000 935.49500000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
197004 00606601 1970 04 1 IBM 0.074971 0.061728 0.513958 0.59798995 0.39956647 0.58643326 0.69616519 38493.12468204 39121.61268204 7197.29600000 1735.52000000 2454.98500000 1918.79500000 933.87300000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 73.66700000 0.00000000 0.00000000 0.00000000 0.00000000 113.71700000
197005 00606601 1970 05 1 IBM 0.120546 0.194997 0.435714 0.63851110 0.59051724 0.67927273 0.66323529 33887.65211857 34516.14011857 7197.29600000 1735.52000000 2454.98500000 1918.79500000 933.87300000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 73.66700000 0.00000000 0.00000000 0.00000000 0.00000000 113.71700000
197006 00606601 1970 06 1 IBM 0.159424 0.312759 0.390681 0.63603733 0.71284271 0.69096210 0.70198675 31613.31211857 32241.80011857 7197.29600000 1735.52000000 2454.98500000 1918.79500000 933.87300000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 73.66700000 0.00000000 0.00000000 0.00000000 0.00000000 113.71700000
197007 00606601 1970 07 1 IBM 0.184551 0.338103 0.385940 0.35821967 0.59179266 0.50000000 0.59602649 28429.23264792 29057.72064792 7233.40800000 1735.52000000 2454.98500000 1918.79500000 958.17300000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 73.66700000 0.00000000 0.00000000 0.00000000 0.00000000 113.71700000
197008 00606601 1970 08 1 IBM 0.224792 0.328023 0.421206 0.33527273 0.37581937 0.49157509 0.58246657 28685.10283921 29313.59083921 7233.40800000 1735.52000000 2454.98500000 1918.79500000 958.17300000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 73.66700000 0.00000000 0.00000000 0.00000000 0.00000000 113.71700000
197009 00606601 1970 09 1 IBM 0.159436 0.233660 0.439737 0.51280176 0.29450549 0.52247605 0.53731343 30277.13389792 30905.62189792 7233.40800000 1735.52000000 2454.98500000 1918.79500000 958.17300000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 73.66700000 0.00000000 0.00000000 0.00000000 0.00000000 113.71700000
197010 00606601 1970 10 1 IBM 0.046776 0.044299 0.502110 0.46468927 0.36099291 0.48575499 0.45054152 33176.92086857 33805.40886857 7275.33600000 1735.52000000 2454.98500000 1918.79500000 972.77500000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 73.66700000 0.00000000 0.00000000 0.00000000 0.00000000 113.71700000
