srfile|srfile_feat|mdfile_feat|version
income|Revenues|saleq|ttm
income|Cost of Revenue|cogsq|ttm
income|Selling, General and Administrative Expense|xsgaq|ttm
income|Earning Before Interest & Taxes (EBIT)|ebit|ttm
income|Operating Income|oiadpq|ttm
income|Net Income|niq|ttm
balance|Cash and Equivalents|cheq|mrq
balance|Trade and Non-Trade Receivables|rect|mrq
balance|Inventory|invtq|mrq
balance|Investments Current|acoq|mrq
balance|Assets Non-Current|aoq|mrq
balance|Debt Current|dlcq|mrq
balance|Trade and Non-Trade Payables|apq|mrq
balance|Tax Liabilities|txpq|mrq
balance|Deferred Revenue|lcoq|mrq
balance|Total Liabilities|ltq|mrq
